epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,8606.23,0.5162,0.29626,0.90062,0.94212,0.83856,0.83725,0.69421,0.55072,0.26143,0.89351,0.000346576,0.000346576,0.000346576
141,8667.73,0.52585,0.28979,0.89736,0.98743,0.82698,0.83589,0.68892,0.5628,0.26066,0.89524,0.000341077,0.000341077,0.000341077
142,8729.67,0.49927,0.28493,0.88267,0.9244,0.84138,0.83604,0.69062,0.56241,0.26785,0.89703,0.000335578,0.000335578,0.000335578
143,8792.88,0.49564,0.29026,0.88523,0.92962,0.84138,0.83674,0.68324,0.56479,0.25222,0.90166,0.000330078,0.000330078,0.000330078
144,8854.26,0.50712,0.28237,0.88635,0.94059,0.83448,0.83656,0.69003,0.55591,0.25593,0.89157,0.000324579,0.000324579,0.000324579
145,8912.87,0.50873,0.28665,0.88274,0.96731,0.83064,0.83473,0.69893,0.55358,0.26561,0.89272,0.000319079,0.000319079,0.000319079
146,8971.15,0.49751,0.28324,0.89875,0.97179,0.83355,0.83629,0.69086,0.57841,0.2855,0.90378,0.00031358,0.00031358,0.00031358
147,9029.56,0.4896,0.28659,0.87739,0.92659,0.84138,0.83407,0.68831,0.54829,0.26359,0.89244,0.00030808,0.00030808,0.00030808
148,9087.84,0.4885,0.27428,0.88626,0.92733,0.84138,0.83368,0.68303,0.55775,0.25966,0.89574,0.000302581,0.000302581,0.000302581
149,9151.66,0.49164,0.27824,0.87784,0.97416,0.82675,0.83541,0.68993,0.54992,0.25682,0.89252,0.000297081,0.000297081,0.000297081
150,9214.86,0.49054,0.27807,0.88078,0.9657,0.84138,0.8386,0.69344,0.55696,0.25272,0.89786,0.000291582,0.000291582,0.000291582
151,9273.15,0.49314,0.27617,0.88086,0.97156,0.84138,0.83879,0.68213,0.5679,0.25456,0.90143,0.000286083,0.000286083,0.000286083
152,9333.57,0.49027,0.28035,0.88205,0.9838,0.8399,0.839,0.69304,0.53922,0.24368,0.89256,0.000280583,0.000280583,0.000280583
153,9395.68,0.47273,0.27251,0.87849,0.94749,0.84104,0.83752,0.68822,0.55033,0.25185,0.89386,0.000275084,0.000275084,0.000275084
154,9458.97,0.48565,0.2704,0.88005,0.93913,0.83448,0.83261,0.68388,0.56155,0.26211,0.9011,0.000269584,0.000269584,0.000269584
155,9522.51,0.47934,0.27016,0.88372,0.94604,0.83106,0.83319,0.68248,0.56828,0.26571,0.90181,0.000264085,0.000264085,0.000264085
156,9586.08,0.48137,0.27148,0.87559,0.94499,0.83397,0.83368,0.67141,0.58431,0.26507,0.9073,0.000258585,0.000258585,0.000258585
157,9649.32,0.47344,0.26606,0.87905,0.96319,0.83291,0.83532,0.68245,0.5639,0.25424,0.89909,0.000253086,0.000253086,0.000253086
158,9712.84,0.46664,0.26885,0.88088,0.92261,0.84138,0.83182,0.68003,0.54589,0.24917,0.89612,0.000247586,0.000247586,0.000247586
159,9776.28,0.47097,0.25836,0.88156,0.92397,0.83932,0.83636,0.67825,0.56298,0.24964,0.90082,0.000242087,0.000242087,0.000242087
160,9840.29,0.46708,0.26073,0.87757,0.94584,0.84138,0.8376,0.68154,0.56663,0.25986,0.90165,0.000236587,0.000236587,0.000236587
161,9899.17,0.46595,0.25694,0.87207,0.97851,0.82728,0.8362,0.68048,0.55817,0.25015,0.90056,0.000231088,0.000231088,0.000231088
162,9960.49,0.46951,0.26145,0.87636,0.9492,0.83448,0.83516,0.68262,0.56742,0.2477,0.89867,0.000225589,0.000225589,0.000225589
163,10022.9,0.47974,0.26375,0.87566,0.94069,0.83488,0.83662,0.67605,0.57344,0.25934,0.90738,0.000220089,0.000220089,0.000220089
164,10081.9,0.46432,0.26411,0.878,0.97944,0.82232,0.835,0.69021,0.54605,0.24845,0.89678,0.00021459,0.00021459,0.00021459
165,10145.2,0.46525,0.26428,0.88336,0.96858,0.82298,0.83408,0.68521,0.55501,0.24915,0.90037,0.00020909,0.00020909,0.00020909
