STT,Sản phẩm,Kết quả,Thời gian
1,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-29 19:49:46
2,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-29 19:50:11
3,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (di vat)",2026-04-29 19:55:49
4,Viên rời,"[NG] NG (1 LỖI) - OK: 1, Lỗi: 1 (di vat)",2026-04-29 19:55:52
1,Viên rời,[OK] CHỜ VẬT THỂ,2026-04-29 23:01:57
2,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 5 viên (chỉ thấy 5/10 viên) | Thiếu viên trong ô: 4 ô - Vỉ chuẩn: 10 viên | Phát hiện: 5 viên,   • Vỉ bị cắt: thiếu 5 viên (chỉ thấy 5/10 viên),   • Thiếu viên trong ô: 4 ô",2026-04-29 23:02:15
3,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 8 viên (chỉ thấy 2/10 viên) | Thiếu viên trong ô: 1 ô - Vỉ chuẩn: 10 viên | Phát hiện: 2 viên,   • Vỉ bị cắt: thiếu 8 viên (chỉ thấy 2/10 viên),   • Thiếu viên trong ô: 1 ô",2026-04-29 23:02:37
4,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-29 23:03:29
5,Vỉ thuốc,"[NG] NG - Thiếu viên trong ô: 9 ô - Vỉ chuẩn: 10 viên | Phát hiện: 10 viên,   • Thiếu viên trong ô: 9 ô",2026-04-29 23:03:46
6,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 3 viên (chỉ thấy 7/10 viên) | Thiếu viên trong ô: 6 ô - Vỉ chuẩn: 10 viên | Phát hiện: 7 viên,   • Vỉ bị cắt: thiếu 3 viên (chỉ thấy 7/10 viên),   • Thiếu viên trong ô: 6 ô",2026-04-29 23:04:35
7,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) | Dị vật: 1 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên),   • Dị vật: 1 chỗ",2026-04-29 23:05:26
8,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 7 viên (chỉ thấy 3/10 viên) | Thiếu viên trong ô: 1 ô | Nứt/Vỡ: 1 viên | Dị vật: 1 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 3 viên,   • Vỉ bị cắt: thiếu 7 viên (chỉ thấy 3/10 viên),   • Thiếu viên trong ô: 1 ô,   • Nứt/Vỡ: 1 viên,   • Dị vật: 1 chỗ",2026-04-29 23:05:45
9,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên) | Thiếu viên trong ô: 7 ô - Vỉ chuẩn: 10 viên | Phát hiện: 8 viên,   • Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên),   • Thiếu viên trong ô: 7 ô",2026-04-29 23:08:10
10,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-29 23:08:41
